Property Type , Roof Type , Exterior Material , HVAC System , Water Source , Sewer System , Foundation Type , Security System , Energy Efficiency Rating , HOA Amenities , HOA Rules , Accessibility Features , Local Services , Locality 
Multi-family Dwelling , Metal , Stone , Heat Pump , Well , Septic Tank , Crawl Space , Alarm System Installed , ENERGY STAR Certified , Clubhouse , Pet Restrictions , None , None , Jayanagar 
Condominium , Flat , Stucco , Heat Pump , City Water , Public Sewer , Slab , Security Cameras , ENERGY STAR Certified , Clubhouse , Pet Restrictions , Handicap Accessible , None , JP Nagar 
Single Family Home , Wood Shake , Wood , Central Air Conditioning , City Water , Public Sewer , Basement , Gated Community , ENERGY STAR Certified , None , Pet Restrictions , Handicap Accessible , None , Girinagar 
Condominium , Tile , Stucco , Ductless Mini-Split , City Water , Public Sewer , Crawl Space , None , Non-certified , Maintenance Services , None , None ,None, Indiranagar 
Condominium , Tile , Stucco , Heat Pump , Community Water System , Public Sewer , Basement , None , LEED Certified , Maintenance Services , None , None , None, Banashankari 
Multi-family Dwelling , Flat , Wood , Central Air Conditioning , Community Water System , Septic Tank , Basement , Alarm System Installed , ENERGY STAR Certified , Pool , Rental Restrictions , None , Pet Services Available , Hebbal 
Single Family Home , Metal , Stucco , Ductless Mini-Split , Community Water System , Septic Tank , Basement , Gated Community , LEED Certified , Clubhouse , None , Handicap Accessible , Pet Services Available , Kengeri 
Single Family Home , Tile , Stucco , Window Units , City Water , Septic Tank , Slab , None , LEED Certified , None , Pet Restrictions , Handicap Accessible , None , Electronic City 
Apartment , Shingle , Stone , Central Air Conditioning , Community Water System , Public Sewer , Crawl Space , Gated Community , LEED Certified , Pool , Pet Restrictions , ADA Compliant , Pet Services Available , MG Road 
Single Family Home , Wood Shake , Vinyl , Ductless Mini-Split , City Water , Public Sewer , Crawl Space , None , ENERGY STAR Certified , Clubhouse , Rental Restrictions , None , Pet Services Available , Sadashiv Nagar 
Condominium , Shingle , Vinyl , Window Units , City Water , Septic Tank , Basement , Alarm System Installed , Non-certified , Maintenance Services , Architectural Guidelines , ADA Compliant , Pet Services Available , Jayanagar 
Duplex/Triplex , Wood Shake , Stucco , Central Air Conditioning , Community Water System , Septic Tank , Crawl Space , None , Non-certified , Clubhouse , None , Handicap Accessible , Entertainment Venues Nearby , JP Nagar 
Multi-family Dwelling , Shingle , Wood , Central Air Conditioning , Well , Septic Tank , Crawl Space , Alarm System Installed , ENERGY STAR Certified , Maintenance Services , Architectural Guidelines , ADA Compliant , None , Girinagar 
Townhouse , Metal , Wood , Window Units , Community Water System , Public Sewer , Slab , Gated Community , LEED Certified , Pool , None , ADA Compliant , Entertainment Venues Nearby , Indiranagar 
Single Family Home , Wood Shake , Stucco , Heat Pump , Well , Septic Tank , Slab , Gated Community , LEED Certified , Clubhouse , None , Handicap Accessible , Pet Services Available , Banashankari 
Single Family Home , Flat , Stone , Heat Pump , City Water , Septic Tank , Crawl Space , Alarm System Installed , ENERGY STAR Certified , Clubhouse , Rental Restrictions , ADA Compliant , Pet Services Available , Hebbal 
Duplex/Triplex , Wood Shake , Stone , Window Units , Well , Public Sewer , Slab , None , LEED Certified , Maintenance Services , Pet Restrictions , ADA Compliant , Pet Services Available , Kengeri 
Townhouse , Wood Shake , Wood , Heat Pump , City Water , Public Sewer , Slab , Security Cameras , ENERGY STAR Certified , None , Pet Restrictions , None , Entertainment Venues Nearby , Electronic City 
Duplex/Triplex , Metal , Stucco , Ductless Mini-Split , City Water , Public Sewer , Slab , None , ENERGY STAR Certified , None , Pet Restrictions , ADA Compliant , Pet Services Available , MG Road 
Apartment , Metal , Vinyl , Central Air Conditioning , City Water , Public Sewer , Crawl Space , Security Cameras , LEED Certified , Pool , None , ADA Compliant , Pet Services Available , Sadashiv Nagar 